hex,count
84cf157ffffffff,47
84cf151ffffffff,7
84cf14dffffffff,4
84cf14bffffffff,46
84cf149ffffffff,12
84cf147ffffffff,16
84cf145ffffffff,12
84cf143ffffffff,2
84cf141ffffffff,48
84cf13dffffffff,77
84cf13bffffffff,1
84cf139ffffffff,6
84cf137ffffffff,19
84cf135ffffffff,456
84cf133ffffffff,16
84cf131ffffffff,1
84cf12dffffffff,583
84cf12bffffffff,617
84cf129ffffffff,51564
84cf127ffffffff,1129
84cf125ffffffff,1295
84cf123ffffffff,424
84cf121ffffffff,1649
84cf11dffffffff,27
84cf119ffffffff,5
84cf117ffffffff,39
84cf115ffffffff,1
84cf111ffffffff,5
84cf10dffffffff,6
84cf10bffffffff,14
84cf109ffffffff,3
84cf107ffffffff,4
84cf105ffffffff,53
84cf103ffffffff,8
84cf101ffffffff,6
84ceb6dffffffff,89
84ceb6bffffffff,42
84ceb69ffffffff,18
84ceb67ffffffff,56
84ceb65ffffffff,27
84ceb63ffffffff,57
84ceb61ffffffff,75
84ceb5dffffffff,63
84ceb5bffffffff,179
84ceb59ffffffff,130
84ceb57ffffffff,123
84ceb55ffffffff,124
84ceb53ffffffff,189
84ceb51ffffffff,146
84ceb4dffffffff,37
84ceb4bffffffff,368
84ceb49ffffffff,51
84ceb47ffffffff,87
84ceb45ffffffff,34
84ceb43ffffffff,49
84ceb41ffffffff,74
84ceb3dffffffff,271
84ceb3bffffffff,189
84ceb39ffffffff,81
84ceb37ffffffff,2712
84ceb35ffffffff,657
84ceb33ffffffff,247
84ceb31ffffffff,165
84ceb2dffffffff,391
84ceb2bffffffff,51
84ceb29ffffffff,91
84ceb27ffffffff,38
84ceb25ffffffff,315
84ceb23ffffffff,59
84ceb21ffffffff,31
84ceb1dffffffff,254
84ceb1bffffffff,157
84ceb19ffffffff,476
84ceb17ffffffff,269
84ceb15ffffffff,419
84ceb13ffffffff,69
84ceb11ffffffff,153
84ceb0dffffffff,50
84ceb0bffffffff,136
84ceb09ffffffff,88
84ceb07ffffffff,56
84ceb05ffffffff,74
84ceb03ffffffff,60
84ceb01ffffffff,553
84ceaedffffffff,1125
84ceaebffffffff,12335
84ceae9ffffffff,2137
84ceae7ffffffff,40980
84ceae5ffffffff,4519
84ceae3ffffffff,48322
84ceae1ffffffff,2776
84ceacdffffffff,24321
84ceac9ffffffff,150
84ceac7ffffffff,33986
84ceac5ffffffff,28132
84ceac3ffffffff,1
84ceac1ffffffff,62569
84ceabdffffffff,215
84ceab5ffffffff,2647
84ceaadffffffff,42945
84ceaabffffffff,17373
84ceaa9ffffffff,303940
84ceaa7ffffffff,183073
84ceaa5ffffffff,11122
84ceaa3ffffffff,16388
84ceaa1ffffffff,48762
84cea8dffffffff,48849
84cea89ffffffff,1747
84cea87ffffffff,286
84cea85ffffffff,24678
84cea6dffffffff,80
84cea6bffffffff,2836
84cea69ffffffff,214
84cea67ffffffff,180
84cea65ffffffff,86
84cea63ffffffff,97
84cea61ffffffff,178
84cea5dffffffff,57
84cea5bffffffff,94
84cea59ffffffff,399
84cea57ffffffff,2211
84cea55ffffffff,344
84cea53ffffffff,329
84cea51ffffffff,1200
84cea4dffffffff,1332
84cea4bffffffff,516
84cea49ffffffff,135
84cea47ffffffff,1204
84cea45ffffffff,214
84cea43ffffffff,1216
84cea41ffffffff,250
84cea3dffffffff,26332
84cea3bffffffff,71
84cea39ffffffff,1593
84cea37ffffffff,53670
84cea35ffffffff,1741
84cea33ffffffff,148
84cea31ffffffff,2959
84cea2dffffffff,335
84cea2bffffffff,491
84cea29ffffffff,106
84cea27ffffffff,527
84cea25ffffffff,219
84cea23ffffffff,705
84cea21ffffffff,977
84cea1dffffffff,831
84cea19ffffffff,1
84cea17ffffffff,398
84cea15ffffffff,308
84cea13ffffffff,531
84cea11ffffffff,4201
84cea0dffffffff,227
84cea0bffffffff,2016
84cea09ffffffff,166
84cea07ffffffff,18493
84cea05ffffffff,1239
84cea03ffffffff,3338
84cea01ffffffff,4870
84ce9edffffffff,3129
84ce9ebffffffff,1527
84ce9e9ffffffff,75431
84ce9e7ffffffff,1217
84ce9e5ffffffff,3788
84ce9e3ffffffff,736
84ce9e1ffffffff,3015
84ce9ddffffffff,7333
84ce9dbffffffff,7766
84ce9d9ffffffff,4300
84ce9d7ffffffff,8484
84ce9d5ffffffff,1348
84ce9d3ffffffff,13634
84ce9d1ffffffff,5222
84ce9cdffffffff,790
84ce9cbffffffff,760
84ce9c9ffffffff,387
84ce9c7ffffffff,33994
84ce9c5ffffffff,1387
84ce9c3ffffffff,679
84ce9c1ffffffff,1697
84ce9bdffffffff,13682
84ce9bbffffffff,323
84ce9b9ffffffff,1698
84ce9b7ffffffff,1771
84ce9b5ffffffff,3829
84ce9b3ffffffff,403
84ce9b1ffffffff,4982
84ce9adffffffff,561
84ce9abffffffff,383
84ce9a9ffffffff,259
84ce9a7ffffffff,3256
84ce9a5ffffffff,657
84ce9a3ffffffff,811
84ce9a1ffffffff,297
84ce99dffffffff,3001
84ce99bffffffff,6095
84ce999ffffffff,1379
84ce997ffffffff,4528
84ce995ffffffff,5068
84ce993ffffffff,32152
84ce991ffffffff,8189
84ce98dffffffff,1729
84ce98bffffffff,284
84ce989ffffffff,5299
84ce987ffffffff,2938
84ce985ffffffff,401
84ce983ffffffff,4109
84ce981ffffffff,918
84ce96dffffffff,539
84ce96bffffffff,718
84ce969ffffffff,263
84ce967ffffffff,110
84ce965ffffffff,82
84ce963ffffffff,27
84ce961ffffffff,355
84ce95dffffffff,631
84ce95bffffffff,403
84ce959ffffffff,205
84ce957ffffffff,118
84ce955ffffffff,227
84ce953ffffffff,142
84ce951ffffffff,185
84ce94dffffffff,31
84ce94bffffffff,83
84ce949ffffffff,244
84ce947ffffffff,1123
84ce945ffffffff,496
84ce943ffffffff,3749
84ce941ffffffff,313
84ce93dffffffff,34
84ce93bffffffff,3638
84ce939ffffffff,64
84ce937ffffffff,134866
84ce935ffffffff,232281
84ce933ffffffff,18701
84ce931ffffffff,266178
84ce92dffffffff,52
84ce92bffffffff,55
84ce929ffffffff,37
84ce927ffffffff,59019
84ce925ffffffff,46
84ce923ffffffff,9200
84ce921ffffffff,81
84ce91dffffffff,330
84ce91bffffffff,266
84ce919ffffffff,91
84ce917ffffffff,3335
84ce915ffffffff,105
84ce913ffffffff,4034
84ce911ffffffff,22
84ce90dffffffff,69
84ce90bffffffff,220
84ce909ffffffff,135
84ce907ffffffff,112
84ce905ffffffff,63
84ce903ffffffff,1447
84ce901ffffffff,42
84ce8edffffffff,13164
84ce8ebffffffff,41805
84ce8e9ffffffff,23636
84ce8e7ffffffff,26496
84ce8e5ffffffff,43502
84ce8e3ffffffff,58060
84ce8e1ffffffff,79079
84ce8cdffffffff,68122
84ce8cbffffffff,1569
84ce8c9ffffffff,9533
84ce8c7ffffffff,26310
84ce8c5ffffffff,29742
84ce8c3ffffffff,2148
84ce8c1ffffffff,178185
84ce8bdffffffff,18651
84ce8b9ffffffff,6671
84ce8b7ffffffff,90718
84ce8b5ffffffff,13862
84ce8b1ffffffff,34688
84ce8adffffffff,23668
84ce8abffffffff,26857
84ce8a9ffffffff,465008
84ce8a7ffffffff,32145
84ce8a5ffffffff,7745
84ce8a3ffffffff,23046
84ce8a1ffffffff,79394
84ce895ffffffff,260
84ce88dffffffff,21856
84ce887ffffffff,14990
84ce885ffffffff,74651
84ce881ffffffff,16657
84ce86dffffffff,508
84ce86bffffffff,551
84ce869ffffffff,178
84ce867ffffffff,159
84ce865ffffffff,213
84ce863ffffffff,2230
84ce861ffffffff,8497
84ce85dffffffff,13313
84ce85bffffffff,4572
84ce859ffffffff,1116
84ce857ffffffff,581
84ce855ffffffff,13660
84ce853ffffffff,502
84ce851ffffffff,626
84ce84dffffffff,120
84ce84bffffffff,4138
84ce849ffffffff,1326
84ce847ffffffff,208
84ce845ffffffff,468
84ce843ffffffff,174
84ce841ffffffff,578
84ce83dffffffff,886
84ce83bffffffff,866
84ce839ffffffff,33984
84ce837ffffffff,1907
84ce835ffffffff,546
84ce833ffffffff,4132
84ce831ffffffff,16407
84ce82dffffffff,544
84ce82bffffffff,161
84ce829ffffffff,585
84ce827ffffffff,825
84ce825ffffffff,99
84ce823ffffffff,3069
84ce821ffffffff,576
84ce81dffffffff,14639
84ce81bffffffff,18002
84ce819ffffffff,1466
84ce817ffffffff,2467
84ce815ffffffff,2157
84ce813ffffffff,23049
84ce811ffffffff,3480
84ce80dffffffff,1127
84ce80bffffffff,112657
84ce809ffffffff,2998
84ce807ffffffff,816
84ce805ffffffff,344
84ce803ffffffff,4219
84ce801ffffffff,1160
84ce36dffffffff,15
84ce367ffffffff,5
84ce365ffffffff,11
84ce361ffffffff,4
84ce349ffffffff,1
84ce327ffffffff,28
84ce325ffffffff,7
84ce307ffffffff,3
84ce16dffffffff,73
84ce169ffffffff,595
84ce167ffffffff,19
84ce165ffffffff,41
84ce163ffffffff,1
84ce161ffffffff,3
84ce14dffffffff,1
84ce13dffffffff,4
84ce12dffffffff,30
84ce129ffffffff,388
84ce127ffffffff,26812
84ce123ffffffff,161
84ce121ffffffff,1807
84ccf33ffffffff,28
84ccf11ffffffff,1
84ccc6dffffffff,1
84cc6d9ffffffff,2
84cb997ffffffff,1
84ca815ffffffff,25
84ca151ffffffff,1
84c9b6dffffffff,69
84c9b6bffffffff,110
84c9b69ffffffff,284
84c9b67ffffffff,293
84c9b65ffffffff,2
84c9b63ffffffff,1731
84c9b61ffffffff,300
84c9b45ffffffff,6
84c9b3dffffffff,550
84c9b3bffffffff,354
84c9b39ffffffff,324
84c9b37ffffffff,1174
84c9b35ffffffff,307
84c9b33ffffffff,237
84c9b31ffffffff,407
84c9b2dffffffff,225
84c9b2bffffffff,134
84c9b29ffffffff,272
84c9b27ffffffff,172
84c9b25ffffffff,183
84c9b23ffffffff,113
84c9b21ffffffff,89
84c9b17ffffffff,111
84c9b15ffffffff,21
84c9b07ffffffff,98
84c9b05ffffffff,3
84c9b03ffffffff,509
84c9b01ffffffff,11
84c99edffffffff,1
84c99ebffffffff,6648
84c99e9ffffffff,35535
84c99cdffffffff,1387
84c99cbffffffff,2
84c99c9ffffffff,145
84c99c7ffffffff,4891
84c99c5ffffffff,11275
84c99c1ffffffff,3203
84c996dffffffff,377
84c996bffffffff,525
84c9969ffffffff,1011
84c9967ffffffff,1157
84c9965ffffffff,413
84c9963ffffffff,597
84c9961ffffffff,1204
84c995dffffffff,5122
84c995bffffffff,930
84c9959ffffffff,921
84c9957ffffffff,945
84c9955ffffffff,790
84c9953ffffffff,731
84c9951ffffffff,2067
84c994dffffffff,864
84c994bffffffff,451
84c9949ffffffff,315
84c9947ffffffff,501
84c9945ffffffff,342
84c9943ffffffff,745
84c9941ffffffff,440
84c993dffffffff,1182
84c993bffffffff,8496
84c9939ffffffff,1103
84c9937ffffffff,7187
84c9935ffffffff,229489
84c9933ffffffff,3
84c9931ffffffff,88901
84c992dffffffff,1980
84c992bffffffff,590
84c9929ffffffff,1371
84c9927ffffffff,58393
84c9925ffffffff,13462
84c9923ffffffff,29591
84c9921ffffffff,852
84c991dffffffff,676
84c991bffffffff,5905
84c9919ffffffff,1945
84c9917ffffffff,91817
84c9915ffffffff,10322
84c9913ffffffff,2968
84c9911ffffffff,1477
84c990dffffffff,1660
84c990bffffffff,1022
84c9909ffffffff,2283
84c9907ffffffff,3215
84c9905ffffffff,1942
84c9903ffffffff,486
84c9901ffffffff,6112
84c986dffffffff,1057
84c986bffffffff,7817
84c9869ffffffff,29451
84c9867ffffffff,658
84c9865ffffffff,2038
84c9863ffffffff,6290
84c9861ffffffff,4402
84c9845ffffffff,2
84c983dffffffff,82
84c982dffffffff,626
84c982bffffffff,119
84c9829ffffffff,96
84c9827ffffffff,8445
84c9825ffffffff,406
84c9823ffffffff,1177
84c9821ffffffff,353
84c980dffffffff,1
84c9805ffffffff,1243
84c376dffffffff,14450
84c376bffffffff,151
84c3769ffffffff,294
84c3767ffffffff,6657
84c3765ffffffff,141
84c3763ffffffff,307
84c3761ffffffff,157
84c375dffffffff,5125
84c375bffffffff,383
84c3759ffffffff,1250
84c3757ffffffff,243
84c3755ffffffff,11521
84c3753ffffffff,62
84c3751ffffffff,126
84c374dffffffff,87
84c374bffffffff,112
84c3749ffffffff,68
84c3747ffffffff,350
84c3745ffffffff,43
84c3743ffffffff,8425
84c3741ffffffff,108
84c373dffffffff,393
84c373bffffffff,114
84c3739ffffffff,188
84c3737ffffffff,137
84c3735ffffffff,13836
84c3733ffffffff,101
84c3731ffffffff,139
84c372dffffffff,133
84c372bffffffff,164
84c3729ffffffff,129
84c3727ffffffff,199
84c3725ffffffff,152
84c3723ffffffff,179
84c3721ffffffff,217
84c371dffffffff,33
84c371bffffffff,601
84c3719ffffffff,34
84c3717ffffffff,35
84c3715ffffffff,25
84c3713ffffffff,21
84c3711ffffffff,14
84c370dffffffff,67
84c370bffffffff,164
84c3709ffffffff,13923
84c3707ffffffff,235
84c3705ffffffff,134
84c3703ffffffff,317
84c3701ffffffff,137
84c36edffffffff,120
84c36ebffffffff,72
84c36e9ffffffff,2762
84c36e7ffffffff,80
84c36e5ffffffff,187
84c36e3ffffffff,256
84c36e1ffffffff,145
84c36ddffffffff,32520
84c36dbffffffff,443
84c36d9ffffffff,38397
84c36d7ffffffff,350
84c36d5ffffffff,160
84c36d3ffffffff,147
84c36d1ffffffff,184
84c36cdffffffff,86
84c36cbffffffff,179
84c36c9ffffffff,117
84c36c7ffffffff,29
84c36c5ffffffff,187
84c36c3ffffffff,117
84c36c1ffffffff,182
84c36bdffffffff,918
84c36bbffffffff,1318
84c36b9ffffffff,1314
84c36b7ffffffff,1063
84c36b5ffffffff,518
84c36b3ffffffff,3400
84c36b1ffffffff,4086
84c36adffffffff,245
84c36abffffffff,458
